index,Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
22,Team Stats,435.0,651,5062,41,12,7.5,272.0
22,Opp. Stats,408.0,619,3756,33,11,5.6,207.0
22,Lg Rank Offense, ,5,1,1,10,1.0, 
22,Lg Rank Defense, ,30,18,32,21,4.0, 
21,Team Stats,406.0,607,4642,41,18,7.3,233.0
21,Opp. Stats,416.0,625,4109,17,19,6.1,214.0
21,Lg Rank Offense, ,10,5,2,27,2.0, 
21,Lg Rank Defense, ,27,22,2,3,15.0, 
20,Team Stats,410.0,626,4626,42,12,7.1,238.0
20,Opp. Stats,426.0,617,3945,29,15,5.9,215.0
20,Lg Rank Offense, ,6,2,2,16,8.0, 
20,Lg Rank Defense, ,29,21,20,7,8.0, 
19,Team Stats,378.0,576,4498,30,5,7.5,211.0
19,Opp. Stats,352.0,582,3543,21,16,5.7,190.0
19,Lg Rank Offense, ,15,5,5,2,2.0, 
19,Lg Rank Defense, ,23,8,8,5,5.0, 
18,Team Stats,378.0,574,4258,29,11,7.2,206.0
18,Opp. Stats,370.0,605,3943,29,18,6.2,208.0
18,Lg Rank Offense, ,11,8,11,10,6.0, 
18,Lg Rank Defense, ,28,22,19,3,9.0, 
17,Team Stats,341.0,564,3737,38,9,6.2,193.0
17,Opp. Stats,363.0,601,3637,24,19,5.7,177.0
17,Lg Rank Offense, ,13,13,1,6,14.0, 
17,Lg Rank Defense, ,31,17,18,4,7.0, 
16,Team Stats,368.0,550,4308,32,2,7.5,203.0
16,Opp. Stats,368.0,596,3806,21,13,6.0,190.0
16,Lg Rank Offense, ,23,4,6,1,3.0, 
16,Lg Rank Defense, ,26,12,8,15,6.0, 
15,Team Stats,368.0,606,3970,19,23,6.2,201.0
15,Opp. Stats,344.0,573,3193,19,14,5.1,162.0
15,Lg Rank Offense, ,13,14,28,32,21.0, 
15,Lg Rank Defense, ,18,1,3,13,1.0, 
14,Team Stats,392.0,609,4121,34,9,6.5,228.0
14,Opp. Stats,342.0,574,3837,24,16,6.2,196.0
14,Lg Rank Offense, ,7,9,5,4,17.0, 
14,Lg Rank Defense, ,24,17,12,12,16.0, 
13,Team Stats,267.0,420,3236,27,9,7.0,160.0
13,Opp. Stats,309.0,524,2752,16,28,4.8,156.0
13,Lg Rank Offense, ,31,26,10,3,6.0, 
13,Lg Rank Defense, ,7,1,2,1,1.0, 
12,Team Stats,334.0,560,3739,22,11,6.3,182.0
12,Opp. Stats,335.0,557,3650,15,13,6.1,187.0
12,Lg Rank Offense, ,15,15,18,6,15.0, 
12,Lg Rank Defense, ,16,17,2,19,16.0, 
11,Team Stats,359.0,589,4734,29,16,7.7,216.0
11,Opp. Stats,361.0,589,4082,28,20,6.4,210.0
11,Lg Rank Offense, ,6,5,6,19,4.0, 
11,Lg Rank Defense, ,24,29,25,6,20.0, 
10,Team Stats,352.0,541,4124,31,13,7.1,204.0
10,Opp. Stats,296.0,527,3107,16,24,5.4,163.0
10,Lg Rank Offense, ,16,5,4,9,3.0, 
10,Lg Rank Defense, ,13,5,4,2,3.0, 
9,Team Stats,378.0,544,4355,34,12,7.7,215.0
9,Opp. Stats,330.0,574,3769,15,26,6.2,175.0
9,Lg Rank Offense, ,15,4,1,6,2.0, 
9,Lg Rank Defense, ,27,26,5,3,20.0, 
8,Team Stats,303.0,506,3301,19,15,5.9,179.0
8,Opp. Stats,301.0,533,2511,12,20,4.3,149.0
8,Lg Rank Offense, ,20,17,18,16,20.0, 
8,Lg Rank Defense, ,23,1,2,6,1.0, 
7,Team Stats,302.0,544,3154,23,20,5.5,167.0
7,Opp. Stats,306.0,523,3317,24,15,5.8,185.0
7,Lg Rank Offense, ,17,21,14,23,22.0, 
7,Lg Rank Defense, ,9,11,20,20,10.0, 
6,Team Stats,362.0,557,4308,31,9,7.5,241.0
6,Opp. Stats,266.0,415,2548,16,15,5.8,150.0
6,Lg Rank Offense, ,6,2,1,2,1.0, 
6,Lg Rank Defense, ,2,2,5,20,13.0, 
5,Team Stats,228.0,379,2926,21,14,7.1,144.0
5,Opp. Stats,315.0,549,3168,15,15,5.3,179.0
5,Lg Rank Offense, ,32,24,12,9,2.0, 
5,Lg Rank Defense, ,24,16,2,19,3.0, 
4,Team Stats,293.0,485,3588,29,14,7.0,193.0
4,Opp. Stats,315.0,538,3400,18,20,5.8,177.0
4,Lg Rank Offense, ,22,11,5,11,7.0, 
4,Lg Rank Defense, ,26,17,7,7,10.0, 
3,Team Stats,320.0,537,3432,23,13,6.0,177.0
3,Opp. Stats,328.0,618,3232,11,29,4.9,177.0
3,Lg Rank Offense, ,6,9,11,6,13.0, 
3,Lg Rank Defense, ,32,15,1,1,2.0, 
2,Team Stats,348.0,567,3445,23,10,5.7,172.0
2,Opp. Stats,259.0,510,2490,10,31,4.5,131.0
2,Lg Rank Offense, ,11,15,14,2,21.0, 
2,Lg Rank Defense, ,5,1,1,1,1.0, 
1,Team Stats,306.0,482,3089,21,15,5.9,163.0
1,Opp. Stats,299.0,546,3497,15,22,6.0,171.0
1,Lg Rank Offense, ,24,22,11,11,15.0, 
1,Lg Rank Defense, ,23,24,6,6,19.0, 
0,Team Stats,287.0,504,2815,20,19,5.1,156.0
0,Opp. Stats,295.0,528,2997,11,23,5.3,135.0
0,Lg Rank Offense, ,20,22,15,20,24.0, 
0,Lg Rank Defense, ,13,8,2,5,7.0, 
