index,Player,Pen,Yds.3,1stPy
22,Team Stats,87.0,838.0,31.0
22,Opp. Stats,98.0,734.0,28.0
22,Lg Rank Offense, , , 
22,Lg Rank Defense, , , 
21,Team Stats,76.0,637.0,23.0
21,Opp. Stats,88.0,688.0,22.0
21,Lg Rank Offense, , , 
21,Lg Rank Defense, , , 
20,Team Stats,84.0,715.0,44.0
20,Opp. Stats,95.0,1015.0,26.0
20,Lg Rank Offense, , , 
20,Lg Rank Defense, , , 
19,Team Stats,107.0,1029.0,46.0
19,Opp. Stats,116.0,844.0,39.0
19,Lg Rank Offense, , , 
19,Lg Rank Defense, , , 
18,Team Stats,93.0,744.0,28.0
18,Opp. Stats,91.0,838.0,21.0
18,Lg Rank Offense, , , 
18,Lg Rank Defense, , , 
17,Team Stats,116.0,962.0,37.0
17,Opp. Stats,101.0,917.0,33.0
17,Lg Rank Offense, , , 
17,Lg Rank Defense, , , 
16,Team Stats,93.0,819.0,39.0
16,Opp. Stats,113.0,930.0,23.0
16,Lg Rank Offense, , , 
16,Lg Rank Defense, , , 
15,Team Stats,115.0,1063.0,28.0
15,Opp. Stats,104.0,773.0,46.0
15,Lg Rank Offense, , , 
15,Lg Rank Defense, , , 
14,Team Stats,120.0,1080.0,37.0
14,Opp. Stats,92.0,752.0,45.0
14,Lg Rank Offense, , , 
14,Lg Rank Defense, , , 
13,Team Stats,128.0,1183.0,31.0
13,Opp. Stats,98.0,879.0,43.0
13,Lg Rank Offense, , , 
13,Lg Rank Defense, , , 
12,Team Stats,121.0,1127.0,34.0
12,Opp. Stats,107.0,929.0,34.0
12,Lg Rank Offense, , , 
12,Lg Rank Defense, , , 
11,Team Stats,94.0,795.0,31.0
11,Opp. Stats,110.0,933.0,25.0
11,Lg Rank Offense, , , 
11,Lg Rank Defense, , , 
10,Team Stats,78.0,617.0,20.0
10,Opp. Stats,98.0,758.0,25.0
10,Lg Rank Offense, , , 
10,Lg Rank Defense, , , 
9,Team Stats,89.0,787.0,18.0
9,Opp. Stats,86.0,717.0,24.0
9,Lg Rank Offense, , , 
9,Lg Rank Defense, , , 
8,Team Stats,95.0,812.0,18.0
8,Opp. Stats,91.0,801.0,18.0
8,Lg Rank Offense, , , 
8,Lg Rank Defense, , , 
7,Team Stats,77.0,652.0,35.0
7,Opp. Stats,118.0,874.0,20.0
7,Lg Rank Offense, , , 
7,Lg Rank Defense, , , 
6,Team Stats,86.0,718.0,23.0
6,Opp. Stats,86.0,667.0,25.0
6,Lg Rank Offense, , , 
6,Lg Rank Defense, , , 
5,Team Stats,99.0,876.0,33.0
5,Opp. Stats,120.0,1031.0,21.0
5,Lg Rank Offense, , , 
5,Lg Rank Defense, , , 
4,Team Stats,101.0,822.0,31.0
4,Opp. Stats,118.0,1014.0,30.0
4,Lg Rank Offense, , , 
4,Lg Rank Defense, , , 
3,Team Stats,111.0,998.0,26.0
3,Opp. Stats,107.0,845.0,25.0
3,Lg Rank Offense, , , 
3,Lg Rank Defense, , , 
2,Team Stats,103.0,789.0,25.0
2,Opp. Stats,93.0,749.0,26.0
2,Lg Rank Offense, , , 
2,Lg Rank Defense, , , 
1,Team Stats,92.0,802.0,28.0
1,Opp. Stats,93.0,839.0,33.0
1,Lg Rank Offense, , , 
1,Lg Rank Defense, , , 
0,Team Stats,95.0,730.0,16.0
0,Opp. Stats,84.0,535.0,22.0
0,Lg Rank Offense, , , 
0,Lg Rank Defense, , , 
