index,Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
22,Team Stats,417,1970,18,4.7,105.0
22,Opp. Stats,419,1823,10,4.4,102.0
22,Lg Rank Offense,25,20,7,8.0, 
22,Lg Rank Defense,5,8,5,15.0, 
21,Team Stats,420,1683,10,4.0,99.0
21,Opp. Stats,443,1754,18,4.0,111.0
21,Lg Rank Offense,23,25,28,25.0, 
21,Lg Rank Defense,17,6,23,5.0, 
20,Team Stats,369,1519,16,4.1,82.0
20,Opp. Stats,358,1289,10,3.6,78.0
20,Lg Rank Offense,29,28,15,25.0, 
20,Lg Rank Defense,1,1,1,1.0, 
19,Team Stats,375,1569,16,4.2,93.0
19,Opp. Stats,416,2051,14,4.9,115.0
19,Lg Rank Offense,27,23,13,20.0, 
19,Lg Rank Defense,17,26,17,29.0, 
18,Team Stats,478,2037,18,4.3,131.0
18,Opp. Stats,367,1803,7,4.9,93.0
18,Lg Rank Offense,3,5,4,20.0, 
18,Lg Rank Defense,6,11,2,29.0, 
17,Team Stats,473,2115,9,4.5,108.0
17,Opp. Stats,337,1267,7,3.8,62.0
17,Lg Rank Offense,6,3,24,4.0, 
17,Lg Rank Defense,1,1,3,6.0, 
16,Team Stats,482,1872,19,3.9,109.0
16,Opp. Stats,368,1417,6,3.9,81.0
16,Lg Rank Offense,3,7,5,25.0, 
16,Lg Rank Defense,3,3,1,8.0, 
15,Team Stats,411,1718,13,4.2,85.0
15,Opp. Stats,408,1337,10,3.3,81.0
15,Lg Rank Offense,17,17,12,13.0, 
15,Lg Rank Defense,13,3,10,1.0, 
14,Team Stats,438,1727,13,3.9,96.0
14,Opp. Stats,419,1669,6,4.0,88.0
14,Lg Rank Offense,13,18,12,22.0, 
14,Lg Rank Defense,12,9,2,9.0, 
13,Team Stats,509,2188,14,4.3,116.0
13,Opp. Stats,422,1626,4,3.9,83.0
13,Lg Rank Offense,2,4,13,12.0, 
13,Lg Rank Defense,10,7,1,7.0, 
12,Team Stats,444,1901,17,4.3,98.0
12,Opp. Stats,492,1965,15,4.0,105.0
12,Lg Rank Offense,12,11,6,12.0, 
12,Lg Rank Defense,29,20,23,8.0, 
11,Team Stats,411,1427,17,3.5,84.0
11,Opp. Stats,435,1940,15,4.5,103.0
11,Lg Rank Offense,22,32,6,32.0, 
11,Lg Rank Defense,16,19,23,23.0, 
10,Team Stats,421,1606,11,3.8,88.0
10,Opp. Stats,395,1838,6,4.7,82.0
10,Lg Rank Offense,20,24,18,25.0, 
10,Lg Rank Defense,6,18,3,28.0, 
9,Team Stats,468,2106,21,4.5,115.0
9,Opp. Stats,435,1955,19,4.5,111.0
9,Lg Rank Offense,7,6,3,7.0, 
9,Lg Rank Defense,17,21,28,26.0, 
8,Team Stats,460,1690,16,3.7,93.0
8,Opp. Stats,390,1284,7,3.3,73.0
8,Lg Rank Offense,9,23,11,29.0, 
8,Lg Rank Defense,5,2,2,1.0, 
7,Team Stats,469,2148,15,4.6,119.0
7,Opp. Stats,408,1563,12,3.8,83.0
7,Lg Rank Offense,8,4,7,4.0, 
7,Lg Rank Defense,10,8,17,9.0, 
6,Team Stats,439,1762,17,4.0,112.0
6,Opp. Stats,519,2768,20,5.3,150.0
6,Lg Rank Offense,18,18,6,16.0, 
6,Lg Rank Defense,31,32,30,32.0, 
5,Team Stats,549,2223,21,4.0,120.0
5,Opp. Stats,402,1376,10,3.4,75.0
5,Lg Rank Offense,1,5,5,12.0, 
5,Lg Rank Defense,5,3,7,1.0, 
4,Team Stats,524,2134,15,4.1,120.0
4,Opp. Stats,405,1572,9,3.9,83.0
4,Lg Rank Offense,5,7,8,18.0, 
4,Lg Rank Defense,5,6,8,11.0, 
3,Team Stats,473,1607,9,3.4,91.0
3,Opp. Stats,401,1434,10,3.6,91.0
3,Lg Rank Offense,12,27,24,30.0, 
3,Lg Rank Defense,4,4,6,6.0, 
2,Team Stats,414,1557,6,3.8,90.0
2,Opp. Stats,410,1554,8,3.8,79.0
2,Lg Rank Offense,23,27,31,28.0, 
2,Lg Rank Defense,10,5,3,5.0, 
1,Team Stats,473,1793,15,3.8,101.0
1,Opp. Stats,429,1855,7,4.3,99.0
1,Lg Rank Offense,8,13,7,24.0, 
1,Lg Rank Defense,13,19,4,21.0, 
0,Team Stats,511,2199,9,4.3,116.0
0,Opp. Stats,361,970,5,2.7,59.0
0,Lg Rank Offense,5,5,24,8.0, 
0,Lg Rank Defense,3,1,1,1.0, 
