index,Player,PF,Yds,Ply,Y/P,TO,FL,1stD
22,Team Stats,496,7032,1094.0,6.4,23,11,408
22,Opp. Stats,369,5579,1093.0,5.1,20,9,337
22,Lg Rank Offense,1,1, , ,17,24,1
22,Lg Rank Defense,16,11, , ,20,17,19
21,Team Stats,460,6325,1058.0,6.0,23,5,355
21,Opp. Stats,372,5863,1118.0,5.2,25,6,347
21,Lg Rank Offense,7,9, , ,17,2,12
21,Lg Rank Defense,15,17, , ,10,26,19
20,Team Stats,492,6145,1017.0,6.0,17,5,364
20,Opp. Stats,355,5234,1023.0,5.1,25,10,319
20,Lg Rank Offense,3,7, , ,7,2,10
20,Lg Rank Defense,8,6, , ,5,8,5
19,Team Stats,451,6067,976.0,6.2,15,10,350
19,Opp. Stats,308,5594,1043.0,5.4,23,7,344
19,Lg Rank Offense,5,6, , ,3,19,6
19,Lg Rank Defense,7,17, , ,10,24,23
18,Team Stats,436,6295,1073.0,5.9,18,7,365
18,Opp. Stats,325,5746,1002.0,5.7,28,10,322
18,Lg Rank Offense,4,5, , ,7,8,8
18,Lg Rank Defense,7,21, , ,5,12,17
17,Team Stats,457,5852,1073.0,5.5,20,11,338
17,Opp. Stats,295,4904,976.0,5.0,31,12,272
17,Lg Rank Offense,3,7, , ,11,22,4
17,Lg Rank Defense,4,4, , ,4,4,5
16,Team Stats,441,6180,1056.0,5.9,11,9,351
16,Opp. Stats,250,5223,998.0,5.2,23,10,294
16,Lg Rank Offense,3,4, , ,1,13,5
16,Lg Rank Defense,1,8, , ,14,9,3
15,Team Stats,355,5688,1056.0,5.4,31,8,314
15,Opp. Stats,296,4530,1033.0,4.4,27,13,289
15,Lg Rank Offense,19,16, , ,29,7,19
15,Lg Rank Defense,4,1, , ,8,4,5
14,Team Stats,468,5848,1073.0,5.5,13,4,361
14,Opp. Stats,313,5506,1033.0,5.3,25,9,329
14,Lg Rank Offense,4,11, , ,1,2,4
14,Lg Rank Defense,8,13, , ,14,18,22
13,Team Stats,417,5424,973.0,5.6,19,10,307
13,Opp. Stats,231,4378,990.0,4.4,39,11,282
13,Lg Rank Offense,8,17, , ,4,16,20
13,Lg Rank Defense,1,1, , ,1,11,3
12,Team Stats,398,5640,1042.0,5.4,16,5,314
12,Opp. Stats,344,5615,1086.0,5.2,25,12,326
12,Lg Rank Offense,10,16, , ,2,3,15
12,Lg Rank Defense,12,17, , ,14,8,21
11,Team Stats,394,6161,1028.0,6.0,24,8,331
11,Opp. Stats,400,6022,1072.0,5.6,31,11,338
11,Lg Rank Offense,9,8, , ,16,10,10
11,Lg Rank Defense,25,27, , ,5,7,26
10,Team Stats,388,5730,1000.0,5.7,22,9,312
10,Opp. Stats,240,4945,969.0,5.1,32,8,270
10,Lg Rank Offense,10,9, , ,10,9,13
10,Lg Rank Defense,2,5, , ,6,24,4
9,Team Stats,510,6461,1032.0,6.3,28,16,348
9,Opp. Stats,341,5724,1044.0,5.5,39,13,310
9,Lg Rank Offense,1,1, , ,16,29,2
9,Lg Rank Defense,20,25, , ,2,6,22
8,Team Stats,347,4991,1015.0,4.9,25,10,290
8,Opp. Stats,223,3795,974.0,3.9,29,9,240
8,Lg Rank Offense,20,22, , ,15,13,20
8,Lg Rank Defense,1,1, , ,9,18,2
7,Team Stats,373,5302,1041.0,5.1,34,14,321
7,Opp. Stats,351,4880,984.0,5.0,25,10,288
7,Lg Rank Offense,14,16, , ,23,23,8
7,Lg Rank Defense,17,7, , ,22,18,10
6,Team Stats,427,6070,1011.0,6.0,19,10,376
6,Opp. Stats,360,5316,959.0,5.5,26,11,325
6,Lg Rank Offense,2,3, , ,4,10,1
6,Lg Rank Defense,23,21, , ,21,17,28
5,Team Stats,389,5149,960.0,5.4,23,9,297
5,Opp. Stats,258,4544,998.0,4.6,30,15,275
5,Lg Rank Offense,9,15, , ,6,5,17
5,Lg Rank Defense,3,4, , ,11,5,9
4,Team Stats,437,5722,1035.0,5.5,27,13,344
4,Opp. Stats,260,4972,988.0,5.0,36,16,290
4,Lg Rank Offense,4,7, , ,14,23,6
4,Lg Rank Defense,2,9, , ,3,3,10
3,Team Stats,348,5039,1042.0,4.8,24,11,294
3,Opp. Stats,238,4666,1060.0,4.4,41,12,293
3,Lg Rank Offense,12,17, , ,7,13,16
3,Lg Rank Defense,1,7, , ,2,13,17
2,Team Stats,346,5002,1022.0,4.9,21,11,287
2,Opp. Stats,196,4044,963.0,4.2,38,7,236
2,Lg Rank Offense,18,24, , ,6,12,23
2,Lg Rank Defense,1,1, , ,3,30,1
1,Team Stats,371,4882,1001.0,4.9,28,13,292
1,Opp. Stats,272,5352,1016.0,5.3,35,13,303
1,Lg Rank Offense,6,19, , ,13,16,13
1,Lg Rank Defense,6,24, , ,8,9,26
0,Team Stats,333,5014,1058.0,4.7,26,7,288
0,Opp. Stats,165,3967,924.0,4.3,49,26,216
0,Lg Rank Offense,14,16, , ,9,1,18
0,Lg Rank Defense,1,2, , ,1,1,2
